veri_seti,model,senaryo,fold,seed,accuracy,precision,recall,f1,n,pozitif,roc_auc,pr_auc
SKAB,cnn1d,gurultu,1,2026,0.9175050301810865,0.9071146245059288,0.8579439252336448,0.8818443804034583,1491,535,0.9409729011066359,0.942583787317448
SKAB,cnn1d,unseen,1,2026,0.93158953722334,0.9635974304068522,0.8411214953271028,0.8982035928143712,1491,535,0.9478942634810151,0.9482302758160991
SKAB,lstm,orijinal,1,7,0.8900067069081153,0.8416206261510129,0.8542056074766355,0.8478664192949907,1491,535,0.9460290149767333,0.9423924908809687
SKAB,lstm,gurultu,1,7,0.8832997987927566,0.8311926605504587,0.8467289719626169,0.8388888888888889,1491,535,0.9366226097837563,0.9329973048623963
SKAB,lstm,unseen,1,7,0.8879946344735077,0.8484848484848485,0.8373831775700935,0.8428974600188147,1491,535,0.9378465569154969,0.931446167610944
SKAB,gru,orijinal,1,7,0.8900067069081153,0.8366606170598911,0.8616822429906542,0.848987108655617,1491,535,0.9440053963164274,0.94130277658758
SKAB,gru,gurultu,1,7,0.8799463447350772,0.8189964157706093,0.8542056074766355,0.8362305580969808,1491,535,0.9352031439408751,0.9326062811954763
SKAB,gru,unseen,1,7,0.8705566733735748,0.8064516129032258,0.8411214953271028,0.8234217749313815,1491,535,0.9324345989911235,0.9300240305112945
SKAB,cnn1d,orijinal,1,7,0.8913480885311871,0.8232235701906413,0.8878504672897196,0.85431654676259,1491,535,0.9405095217612326,0.9417768012987955
SKAB,cnn1d,gurultu,1,7,0.8571428571428571,0.7683333333333333,0.8616822429906542,0.8123348017621146,1491,535,0.931282993782505,0.9319488671780278
SKAB,cnn1d,unseen,1,7,0.9014084507042254,0.8540145985401459,0.874766355140187,0.8642659279778393,1491,535,0.9397528643491182,0.9410114534370989
SKAB,lstm,orijinal,1,999,0.8698859825620389,0.7875210792580101,0.8728971962616823,0.8280141843971631,1491,535,0.9379540922066242,0.9407394014420666
SKAB,lstm,gurultu,1,999,0.8698859825620389,0.7904599659284497,0.8672897196261682,0.8270944741532977,1491,535,0.9306768857779689,0.9351200985428606
SKAB,lstm,unseen,1,999,0.8564721663313213,0.7661691542288557,0.8635514018691589,0.81195079086116,1491,535,0.9294803112657881,0.9347124090623427
SKAB,gru,orijinal,1,999,0.9289067739771966,0.9386503067484663,0.8579439252336448,0.896484375,1491,535,0.9445450279591756,0.946477041455137
SKAB,gru,gurultu,1,999,0.9074446680080482,0.8899803536345776,0.8467289719626169,0.867816091954023,1491,535,0.9333730888045986,0.9359575997559398
SKAB,gru,unseen,1,999,0.9309188464118041,0.9635193133047211,0.8392523364485981,0.8971028971028971,1491,535,0.9361650959996871,0.9397902340971525
SKAB,cnn1d,orijinal,1,999,0.9235412474849095,0.9087378640776699,0.874766355140187,0.8914285714285715,1491,535,0.9370136472060376,0.9419331634647643
SKAB,cnn1d,gurultu,1,999,0.8893360160965795,0.8303571428571429,0.8691588785046729,0.8493150684931506,1491,535,0.9307140343330857,0.935515562080783
SKAB,cnn1d,unseen,1,999,0.926224010731053,0.9207920792079208,0.8691588785046729,0.8942307692307693,1491,535,0.9372267626011809,0.941827321033444
SKAB,automata,orijinal,2,-1,0.4097222222222222,0.3608585858585859,0.9321591650358774,0.5202985618059348,4464,1533,0.49844298847397506,0.3511771774821023
SKAB,automata,gurultu,2,-1,0.3924731182795699,0.3572984749455338,0.9628180039138943,0.5211864406779662,4464,1533,0.48855053488331207,0.3359056971435933
SKAB,automata,unseen,2,-1,0.41689068100358423,0.35220994475138123,0.8317025440313112,0.4948573646419561,4464,1533,0.4606950289357995,0.3220499576441744
SKAB,lstm,orijinal,2,42,0.9361702127659575,0.9623059866962306,0.8509803921568627,0.9032258064516129,1457,510,0.9608899103463984,0.9573969856206339
SKAB,lstm,gurultu,2,42,0.9142072752230611,0.8811881188118812,0.8725490196078431,0.8768472906403941,1457,510,0.9427500672919643,0.9432889563475814
SKAB,lstm,unseen,2,42,0.9313658201784488,0.9789719626168224,0.8215686274509804,0.8933901918976546,1457,510,0.9544733627347455,0.9503227396212321
SKAB,gru,orijinal,2,42,0.9492107069320521,0.9932126696832579,0.8607843137254902,0.9222689075630253,1457,510,0.9651800318860384,0.9671424048068946
SKAB,gru,gurultu,2,42,0.9245024021962938,0.9048582995951417,0.8764705882352941,0.8904382470119522,1457,510,0.9520094415802225,0.9524311186823071
SKAB,gru,unseen,2,42,0.9402882635552505,0.9907192575406032,0.8372549019607843,0.9075451647183846,1457,510,0.9569973290266476,0.958783736512285
SKAB,cnn1d,orijinal,2,42,0.9320521619766644,0.9438444924406048,0.8568627450980392,0.8982528263103803,1457,510,0.9553036420481604,0.950680864456495
SKAB,cnn1d,gurultu,2,42,0.8867536032944406,0.837573385518591,0.8392156862745098,0.8383937316356513,1457,510,0.929428328881711,0.9221094072851925
SKAB,cnn1d,unseen,2,42,0.9210706932052162,0.9782082324455206,0.792156862745098,0.875406283856988,1457,510,0.9563409735594344,0.9503979234941223
SKAB,lstm,orijinal,2,123,0.9375428963623885,0.9838337182448037,0.8352941176470589,0.9034994697773064,1457,510,0.9701492846346564,0.9690765637027682
SKAB,lstm,gurultu,2,123,0.9286204529855868,0.953125,0.8372549019607843,0.8914405010438413,1457,510,0.949512392074042,0.9479318915599554
SKAB,lstm,unseen,2,123,0.8915579958819492,1.0,0.6901960784313725,0.8167053364269141,1457,510,0.9675362858976748,0.96489863197899
SKAB,gru,orijinal,2,123,0.9691146190803019,0.9957356076759062,0.9156862745098039,0.9540347293156282,1457,510,0.9758059506801665,0.9754221202691352
